profundidad,edad_min,edad_max,edad_median,edad_mean,Abies,Acacia,Agave,Alnus_oblongifolia,Arbutus,Berberis,Bursera_,Cactoideae,Canotia,Ceiba,Celtis,Populus,Cylindropuntia,Dasylirion,Desmanthus,Dodonaea_viscosa,Ephedra,Fraxinus,Juglans,Juniperus,Mimosa,Opuntia,Parkinsonia_aculeata,Picea,Pinus,Prosopis,Quercus,Rosaceae,Rutaceae,Salix,Sambucus_type,Tecoma_stans,Acanthaceae,Allionia,Amaranthaceae,Ambrosia,Apiaceae,Artemisia_ludoviciana,Asteroideae,Boerhavia_type,Boraginaceae,Brassicaceae,Callaeum_macropterum,Caryophyllaceae,Cichorioideae,Cirsium,Clematis,Convolvulaceae,Crassulaceae,Cucurbitaceae,Cyperaceae,Dalea,Eriogonum,Eustoma,Euphorbiaceae,Evolvulus,Faboideae,Gentianaceae,Ipomoea,Kallstroemia,Lamiaceae,Lippia_type,Lotus_type,Lythrum,Malvaceae,Marina,Mitracarpus,Monocotyledoneae,Nama,Oenothera,Onagraceae,Plantago,Poaceae,Cerealia,Polemoniaceae,Polygonum,Ranunculaceae,Rhamnaceae,Rubiaceae,Solanaceae,Tribulus,Trixis_californica,Typha,Urtica,Verbenaceae,Zea_mays,Zygophyllaceae,Pteridophyta,Total
99,3344,4595,3972,3971,0,0,0,0,0,0,0.003,0,0.003,0,0.007,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0.052,0,0.108,0,0,0,0,0,0.003,0,0.19,0.029,0,0.01,0.314,0,0,0,0,0,0.003,0,0,0,0,0,0.02,0,0,0,0.01,0.003,0,0,0,0,0,0,0,0,0,0,0.007,0,0.003,0,0,0,0.203,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0.974
102,3457,4721,4090,4091,0,0,0,0.006,0,0.003,0.009,0.022,0.003,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.003,0.138,0,0,0,0,0.003,0.003,0,0.097,0.019,0,0.009,0.296,0,0,0,0,0.003,0,0,0,0,0,0,0.009,0,0,0,0.006,0,0.003,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0.252,0.016,0,0,0,0,0,0,0,0,0.022,0,0,0,0,0.006,0.994
105,3593,4823,4214,4213,0,0,0,0.015,0,0,0.015,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077,0.008,0.108,0,0,0.008,0.008,0,0,0,0.192,0.031,0,0.046,0.046,0.008,0,0,0,0,0,0,0,0,0,0,0.069,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0.969
108,3716,4948,4334,4333,0,0,0,0.003,0,0,0.009,0,0.024,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065,0,0.131,0,0,0,0,0,0,0,0.19,0.051,0,0.042,0.098,0,0,0,0,0,0,0,0,0,0,0,0.095,0.003,0,0,0.012,0.003,0,0,0,0,0,0,0.003,0,0,0,0,0,0.003,0,0,0,0.229,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0.003,0.979
111,3837,5065,4457,4457,0,0.003,0,0.003,0,0,0.003,0.006,0,0,0.037,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0.095,0.018,0.101,0,0,0,0,0,0,0,0.149,0.03,0,0.058,0.113,0.009,0,0,0,0,0,0,0,0,0,0,0.201,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0.003,0,0,0,0.107,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0.027,1
114,3950,5171,4580,4578,0,0,0,0.003,0,0,0,0.003,0.017,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.003,0.093,0,0,0,0,0,0.003,0,0.266,0.014,0,0.017,0.131,0.01,0,0,0,0,0,0,0,0,0,0,0.072,0,0,0,0.017,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0.183,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0.945
117,4083,5281,4701,4699,0,0.003,0,0.007,0,0,0,0,0,0,0.003,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0.126,0.003,0.133,0,0,0,0,0,0.003,0,0.197,0.017,0,0.02,0.078,0.014,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0.007,0.003,0.007,0,0.003,0.003,0,0,0,0.003,0,0.003,0,0,0,0,0,0.003,0.126,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0.027,0.942
120,4196,5402,4824,4819,0,0,0,0,0,0,0.006,0.006,0,0,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,0,0.084,0,0,0,0,0,0,0,0.24,0.019,0,0,0.357,0.006,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.981
123,4323,5498,4941,4937,0,0.003,0,0,0,0,0.003,0.003,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,0,0.076,0,0,0,0,0,0,0,0.234,0.023,0,0.007,0.32,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.013,0.974
126,4453,5618,5065,5059,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0.044,0,0.096,0,0,0,0,0,0,0.009,0.237,0.044,0,0.009,0.289,0.009,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0.009,0,0,0,0,0.009,0,0,0.009,0,0,0,0,0,0.167,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0.009,0.974
